offset,8bit,short,24bit,32bit, fixed_8.8, fixed_10.6, fixed_12.4, fixed_16.8, fixed_18.6, fixed_20.4, fixed_16.16,fixed_24.8,fixed_26.6,fixed_28.4, float32
0, 0, 6144, 15341568, 48896000, 24.0, 96.0, 384.0, 59928.0, 239712.0, 958848.0, 746.09375, 191000.0, 764000.0, 3056000.0, 3.439698508597561e-37
1, 24, 59928, 191000, 191000, 234.09375, 936.375, 3745.5, 746.09375, 2984.375, 11937.5, 2.9144287109375, 746.09375, 2984.375, 11937.5, 2.6764800668604006e-40
2, 234, 746, 746, 33555178, 2.9140625, 11.65625, 46.625, 2.9140625, 11.65625, 46.625, 512.0113830566406, 131074.9140625, 524299.65625, 2097198.625, 9.40479110150181e-38
3, 2, 2, 131074, 131074, 0.0078125, 0.03125, 0.125, 512.0078125, 2048.03125, 8192.125, 2.000030517578125, 512.0078125, 2048.03125, 8192.125, 1.8367379491291107e-40
4, 0, 512, 512, 512, 2.0, 8.0, 32.0, 2.0, 8.0, 32.0, 0.0078125, 2.0, 8.0, 32.0, 7.174648137343064e-43
5, 2, 2, 2, 2, 0.0078125, 0.03125, 0.125, 0.0078125, 0.03125, 0.125, 3.0517578125e-05, 0.0078125, 0.03125, 0.125, 2.802596928649634e-45
6, 0, 0, 0, 167772160, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2560.0, 655360.0, 2621440.0, 10485760.0, 6.162975822039155e-33
7, 0, 0, 655360, 655360, 0.0, 0.0, 0.0, 2560.0, 10240.0, 40960.0, 10.0, 2560.0, 10240.0, 40960.0, 9.183549615799121e-40
8, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
9, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
10, 0, 0, 0, 33554432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 512.0, 131072.0, 524288.0, 2097152.0, 9.4039548065783e-38
11, 0, 0, 131072, 131072, 0.0, 0.0, 0.0, 512.0, 2048.0, 8192.0, 2.0, 512.0, 2048.0, 8192.0, 1.8367099231598242e-40
12, 0, 512, 512, 512, 2.0, 8.0, 32.0, 2.0, 8.0, 32.0, 0.0078125, 2.0, 8.0, 32.0, 7.174648137343064e-43
13, 2, 2, 2, 3355443202, 0.0078125, 0.03125, 0.125, 0.0078125, 0.03125, 0.125, 51200.00003051758, 13107200.0078125, 52428800.03125, 209715200.125, -131072.03125
14, 0, 0, 13107200, 13107200, 0.0, 0.0, 0.0, 51200.0, 204800.0, 819200.0, 200.0, 51200.0, 204800.0, 819200.0, 1.8367099231598242e-38
15, 0, 51200, 51200, 51200, 200.0, 800.0, 3200.0, 200.0, 800.0, 3200.0, 0.78125, 200.0, 800.0, 3200.0, 7.174648137343063e-41
16, 200, 200, 200, 200, 0.78125, 3.125, 12.5, 0.78125, 3.125, 12.5, 0.0030517578125, 0.78125, 3.125, 12.5, 2.802596928649634e-43
17, 0, 0, 0, 3355443200, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51200.0, 13107200.0, 52428800.0, 209715200.0, -131072.0
18, 0, 0, 13107200, 13107200, 0.0, 0.0, 0.0, 51200.0, 204800.0, 819200.0, 200.0, 51200.0, 204800.0, 819200.0, 1.8367099231598242e-38
19, 0, 51200, 51200, 51200, 200.0, 800.0, 3200.0, 200.0, 800.0, 3200.0, 0.78125, 200.0, 800.0, 3200.0, 7.174648137343063e-41
20, 200, 200, 200, 200, 0.78125, 3.125, 12.5, 0.78125, 3.125, 12.5, 0.0030517578125, 0.78125, 3.125, 12.5, 2.802596928649634e-43
21, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
22, 0, 0, 0, 167772160, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2560.0, 655360.0, 2621440.0, 10485760.0, 6.162975822039155e-33
23, 0, 0, 655360, 655360, 0.0, 0.0, 0.0, 2560.0, 10240.0, 40960.0, 10.0, 2560.0, 10240.0, 40960.0, 9.183549615799121e-40
24, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
25, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
26, 0, 0, 0, 335544320, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5120.0, 1310720.0, 5242880.0, 20971520.0, 6.462348535570529e-27
27, 0, 0, 1310720, 1310720, 0.0, 0.0, 0.0, 5120.0, 20480.0, 81920.0, 20.0, 5120.0, 20480.0, 81920.0, 1.8367099231598242e-39
28, 0, 5120, 5120, 5120, 20.0, 80.0, 320.0, 20.0, 80.0, 320.0, 0.078125, 20.0, 80.0, 320.0, 7.174648137343063e-42
29, 20, 20, 20, 503316500, 0.078125, 0.3125, 1.25, 0.078125, 0.3125, 1.25, 7680.000305175781, 1966080.078125, 7864320.3125, 31457281.25, 6.776279733905742e-21
30, 0, 0, 1966080, 52297728, 0.0, 0.0, 0.0, 7680.0, 30720.0, 122880.0, 798.0, 204288.0, 817152.0, 3268608.0, 4.643202685748036e-37
31, 0, 7680, 204288, 84090368, 30.0, 120.0, 480.0, 798.0, 3192.0, 12768.0, 1283.1171875, 328478.0, 1313912.0, 5255648.0, 6.165100528078266e-36
32, 30, 798, 328478, 328478, 3.1171875, 12.46875, 49.875, 1283.1171875, 5132.46875, 20529.875, 5.012176513671875, 1283.1171875, 5132.46875, 20529.875, 4.602957169644873e-40
33, 3, 1283, 1283, 167773443, 5.01171875, 20.046875, 80.1875, 5.01171875, 20.046875, 80.1875, 2560.019577026367, 655365.01171875, 2621460.046875, 10485840.1875, 6.16391842157172e-33
34, 5, 5, 655365, 655365, 0.01953125, 0.078125, 0.3125, 2560.01953125, 10240.078125, 40960.3125, 10.000076293945312, 2560.01953125, 10240.078125, 40960.3125, 9.183619680722337e-40
35, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
36, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
37, 0, 0, 0, 3019898880, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 46080.0, 11796480.0, 47185920.0, 188743680.0, -1.1920928955078125e-07
38, 0, 0, 11796480, 11796480, 0.0, 0.0, 0.0, 46080.0, 184320.0, 737280.0, 180.0, 46080.0, 184320.0, 737280.0, 1.6530389308438418e-38
39, 0, 46080, 46080, 46080, 180.0, 720.0, 2880.0, 180.0, 720.0, 2880.0, 0.703125, 180.0, 720.0, 2880.0, 6.457183323608757e-41
40, 180, 180, 180, 1006633140, 0.703125, 2.8125, 11.25, 0.703125, 2.8125, 11.25, 15360.002746582031, 3932160.703125, 15728642.8125, 62914571.25, 0.00781266763806343
41, 0, 0, 3932160, 339476480, 0.0, 0.0, 0.0, 15360.0, 61440.0, 245760.0, 5180.0, 1326080.0, 5304320.0, 21217280.0, 9.491574411619214e-27
42, 0, 15360, 1326080, 85212160, 60.0, 240.0, 960.0, 5180.0, 20720.0, 82880.0, 1300.234375, 332860.0, 1331440.0, 5325760.0, 6.969946816406901e-36
43, 60, 5180, 332860, 332860, 20.234375, 80.9375, 323.75, 1300.234375, 5200.9375, 20803.75, 5.07904052734375, 1300.234375, 5200.9375, 20803.75, 4.664362068351586e-40
44, 20, 1300, 1300, 838862100, 5.078125, 20.3125, 81.25, 5.078125, 20.3125, 81.25, 12800.019836425781, 3276805.078125, 13107220.3125, 52428881.25, 7.451735228869438e-09
45, 5, 5, 3276805, 3276805, 0.01953125, 0.078125, 0.3125, 12800.01953125, 51200.078125, 204800.3125, 50.00007629394531, 12800.01953125, 51200.078125, 204800.3125, 4.591781814391882e-39
46, 0, 12800, 12800, 12800, 50.0, 200.0, 800.0, 50.0, 200.0, 800.0, 0.1953125, 50.0, 200.0, 800.0, 1.7936620343357659e-41
47, 50, 50, 50, 1711276082, 0.1953125, 0.78125, 3.125, 0.1953125, 0.78125, 3.125, 26112.000762939453, 6684672.1953125, 26738688.78125, 106954755.125, 1.5111662817175412e+23
48, 0, 0, 6684672, 6684672, 0.0, 0.0, 0.0, 26112.0, 104448.0, 417792.0, 102.0, 26112.0, 104448.0, 417792.0, 9.367220608115104e-39
49, 0, 26112, 26112, 26112, 102.0, 408.0, 1632.0, 102.0, 408.0, 1632.0, 0.3984375, 102.0, 408.0, 1632.0, 3.6590705500449623e-41
50, 102, 102, 102, 102, 0.3984375, 1.59375, 6.375, 0.3984375, 1.59375, 6.375, 0.001556396484375, 0.3984375, 1.59375, 6.375, 1.4293244336113134e-43
51, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
