offset,8bit,short,24bit,32bit, fixed_8.8, fixed_10.6, fixed_12.4, fixed_16.8, fixed_18.6, fixed_20.4, fixed_16.16,fixed_24.8,fixed_26.6,fixed_28.4, float32
0, 0, 62720, 1242368, 1242368, 245.0, 980.0, 3920.0, 4853.0, 19412.0, 77648.0, 18.95703125, 4853.0, 19412.0, 77648.0, 1.7409283705262943e-39
1, 245, 4853, 4853, 4853, 18.95703125, 75.828125, 303.3125, 18.95703125, 75.828125, 303.3125, 0.0740509033203125, 18.95703125, 75.828125, 303.3125, 6.800501447368337e-42
2, 18, 18, 18, 16777234, 0.0703125, 0.28125, 1.125, 0.0703125, 0.28125, 1.125, 256.0002746582031, 65536.0703125, 262144.28125, 1048577.125, 2.3509937463190466e-38
3, 0, 0, 65536, 65536, 0.0, 0.0, 0.0, 256.0, 1024.0, 4096.0, 1.0, 256.0, 1024.0, 4096.0, 9.183549615799121e-41
4, 0, 256, 256, 256, 1.0, 4.0, 16.0, 1.0, 4.0, 16.0, 0.00390625, 1.0, 4.0, 16.0, 3.587324068671532e-43
5, 1, 1, 1, 1, 0.00390625, 0.015625, 0.0625, 0.00390625, 0.015625, 0.0625, 1.52587890625e-05, 0.00390625, 0.015625, 0.0625, 1.401298464324817e-45
6, 0, 0, 0, 167772160, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2560.0, 655360.0, 2621440.0, 10485760.0, 6.162975822039155e-33
7, 0, 0, 655360, 655360, 0.0, 0.0, 0.0, 2560.0, 10240.0, 40960.0, 10.0, 2560.0, 10240.0, 40960.0, 9.183549615799121e-40
8, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
9, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
10, 0, 0, 0, 33554432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 512.0, 131072.0, 524288.0, 2097152.0, 9.4039548065783e-38
11, 0, 0, 131072, 131072, 0.0, 0.0, 0.0, 512.0, 2048.0, 8192.0, 2.0, 512.0, 2048.0, 8192.0, 1.8367099231598242e-40
12, 0, 512, 512, 512, 2.0, 8.0, 32.0, 2.0, 8.0, 32.0, 0.0078125, 2.0, 8.0, 32.0, 7.174648137343064e-43
13, 2, 2, 2, 536870914, 0.0078125, 0.03125, 0.125, 0.0078125, 0.03125, 0.125, 8192.000030517578, 2097152.0078125, 8388608.03125, 33554432.125, 1.0842024309794459e-19
14, 0, 0, 2097152, 1310720000, 0.0, 0.0, 0.0, 8192.0, 32768.0, 131072.0, 20000.0, 5120000.0, 20480000.0, 81920000.0, 671088640.0
15, 0, 8192, 5120000, 5120000, 32.0, 128.0, 512.0, 20000.0, 80000.0, 320000.0, 78.125, 20000.0, 80000.0, 320000.0, 7.174648137343063e-39
16, 32, 20000, 20000, 20000, 78.125, 312.5, 1250.0, 78.125, 312.5, 1250.0, 0.30517578125, 78.125, 312.5, 1250.0, 2.802596928649634e-41
17, 78, 78, 78, 536870990, 0.3046875, 1.21875, 4.875, 0.3046875, 1.21875, 4.875, 8192.001190185547, 2097152.3046875, 8388609.21875, 33554436.875, 1.08421225374922e-19
18, 0, 0, 2097152, 1310720000, 0.0, 0.0, 0.0, 8192.0, 32768.0, 131072.0, 20000.0, 5120000.0, 20480000.0, 81920000.0, 671088640.0
19, 0, 8192, 5120000, 5120000, 32.0, 128.0, 512.0, 20000.0, 80000.0, 320000.0, 78.125, 20000.0, 80000.0, 320000.0, 7.174648137343063e-39
20, 32, 20000, 20000, 20000, 78.125, 312.5, 1250.0, 78.125, 312.5, 1250.0, 0.30517578125, 78.125, 312.5, 1250.0, 2.802596928649634e-41
21, 78, 78, 78, 78, 0.3046875, 1.21875, 4.875, 0.3046875, 1.21875, 4.875, 0.001190185546875, 0.3046875, 1.21875, 4.875, 1.0930128021733573e-43
22, 0, 0, 0, 3019898880, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 46080.0, 11796480.0, 47185920.0, 188743680.0, -1.1920928955078125e-07
23, 0, 0, 11796480, 11796480, 0.0, 0.0, 0.0, 46080.0, 184320.0, 737280.0, 180.0, 46080.0, 184320.0, 737280.0, 1.6530389308438418e-38
24, 0, 46080, 46080, 46080, 180.0, 720.0, 2880.0, 180.0, 720.0, 2880.0, 0.703125, 180.0, 720.0, 2880.0, 6.457183323608757e-41
25, 180, 180, 180, 180, 0.703125, 2.8125, 11.25, 0.703125, 2.8125, 11.25, 0.00274658203125, 0.703125, 2.8125, 11.25, 2.5223372357846707e-43
26, 0, 0, 0, 1509949440, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23040.0, 5898240.0, 23592960.0, 94371840.0, 9007199254740992.0
27, 0, 0, 5898240, 5898240, 0.0, 0.0, 0.0, 23040.0, 92160.0, 368640.0, 90.0, 23040.0, 92160.0, 368640.0, 8.265194654219209e-39
28, 0, 23040, 23040, 23040, 90.0, 360.0, 1440.0, 90.0, 360.0, 1440.0, 0.3515625, 90.0, 360.0, 1440.0, 3.2285916618043785e-41
29, 90, 90, 90, 503316570, 0.3515625, 1.40625, 5.625, 0.3515625, 1.40625, 5.625, 7680.001373291016, 1966080.3515625, 7864321.40625, 31457285.625, 6.776336279455428e-21
30, 0, 0, 1966080, 52297728, 0.0, 0.0, 0.0, 7680.0, 30720.0, 122880.0, 798.0, 204288.0, 817152.0, 3268608.0, 4.643202685748036e-37
31, 0, 7680, 204288, 84090368, 30.0, 120.0, 480.0, 798.0, 3192.0, 12768.0, 1283.1171875, 328478.0, 1313912.0, 5255648.0, 6.165100528078266e-36
32, 30, 798, 328478, 328478, 3.1171875, 12.46875, 49.875, 1283.1171875, 5132.46875, 20529.875, 5.012176513671875, 1283.1171875, 5132.46875, 20529.875, 4.602957169644873e-40
33, 3, 1283, 1283, 167773443, 5.01171875, 20.046875, 80.1875, 5.01171875, 20.046875, 80.1875, 2560.019577026367, 655365.01171875, 2621460.046875, 10485840.1875, 6.16391842157172e-33
34, 5, 5, 655365, 655365, 0.01953125, 0.078125, 0.3125, 2560.01953125, 10240.078125, 40960.3125, 10.000076293945312, 2560.01953125, 10240.078125, 40960.3125, 9.183619680722337e-40
35, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
36, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
37, 0, 0, 0, 3355443200, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51200.0, 13107200.0, 52428800.0, 209715200.0, -131072.0
38, 0, 0, 13107200, 13107200, 0.0, 0.0, 0.0, 51200.0, 204800.0, 819200.0, 200.0, 51200.0, 204800.0, 819200.0, 1.8367099231598242e-38
39, 0, 51200, 51200, 51200, 200.0, 800.0, 3200.0, 200.0, 800.0, 3200.0, 0.78125, 200.0, 800.0, 3200.0, 7.174648137343063e-41
40, 200, 200, 200, 1006633160, 0.78125, 3.125, 12.5, 0.78125, 3.125, 12.5, 15360.003051757812, 3932160.78125, 15728643.125, 62914572.5, 0.007812686264514923
41, 0, 0, 3932160, 842792960, 0.0, 0.0, 0.0, 15360.0, 61440.0, 245760.0, 12860.0, 3292160.0, 13168640.0, 52674560.0, 1.0943040251731873e-08
42, 0, 15360, 3292160, 842152960, 60.0, 240.0, 960.0, 12860.0, 51440.0, 205760.0, 12850.234375, 3289660.0, 13158640.0, 52634560.0, 1.0374606063123792e-08
43, 60, 12860, 3289660, 3289660, 50.234375, 200.9375, 803.75, 12850.234375, 51400.9375, 205603.75, 50.19622802734375, 12850.234375, 51400.9375, 205603.75, 4.609795506150778e-39
44, 50, 12850, 12850, 838873650, 50.1953125, 200.78125, 803.125, 50.1953125, 200.78125, 803.125, 12800.196075439453, 3276850.1953125, 13107400.78125, 52429603.125, 7.461993689616975e-09
45, 50, 50, 3276850, 3276850, 0.1953125, 0.78125, 3.125, 12800.1953125, 51200.78125, 204803.125, 50.000762939453125, 12800.1953125, 51200.78125, 204803.125, 4.591844872822777e-39
46, 0, 12800, 12800, 12800, 50.0, 200.0, 800.0, 50.0, 200.0, 800.0, 0.1953125, 50.0, 200.0, 800.0, 1.7936620343357659e-41
47, 50, 50, 50, 419430450, 0.1953125, 0.78125, 3.125, 0.1953125, 0.78125, 3.125, 6400.000762939453, 1638400.1953125, 6553600.78125, 26214403.125, 6.617484343469482e-24
48, 0, 0, 1638400, 1638400, 0.0, 0.0, 0.0, 6400.0, 25600.0, 102400.0, 25.0, 6400.0, 25600.0, 102400.0, 2.2958874039497803e-39
49, 0, 6400, 6400, 6400, 25.0, 100.0, 400.0, 25.0, 100.0, 400.0, 0.09765625, 25.0, 100.0, 400.0, 8.968310171678829e-42
50, 25, 25, 25, 25, 0.09765625, 0.390625, 1.5625, 0.09765625, 0.390625, 1.5625, 0.0003814697265625, 0.09765625, 0.390625, 1.5625, 3.5032461608120427e-44
51, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
52, 0, 0, 0, 134217728, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2048.0, 524288.0, 2097152.0, 8388608.0, 3.851859888774472e-34
