offset,8bit,short,24bit,32bit, fixed_8.8, fixed_10.6, fixed_12.4, fixed_16.8, fixed_18.6, fixed_20.4, fixed_16.16,fixed_24.8,fixed_26.6,fixed_28.4, float32
0, 0, 52224, 2739200, 2739200, 204.0, 816.0, 3264.0, 10700.0, 42800.0, 171200.0, 41.796875, 10700.0, 42800.0, 171200.0, 3.838436753478539e-39
1, 204, 10700, 10700, 1124084172, 41.796875, 167.1875, 668.75, 41.796875, 167.1875, 668.75, 17152.16326904297, 4390953.796875, 17563815.1875, 70255260.75, 128.16326904296875
2, 41, 41, 4390953, 21168169, 0.16015625, 0.640625, 2.5625, 17152.16015625, 68608.640625, 274434.5625, 323.00062561035156, 82688.16015625, 330752.640625, 1323010.5625, 3.5815958408090647e-38
3, 0, 17152, 82688, 82688, 67.0, 268.0, 1072.0, 323.0, 1292.0, 5168.0, 1.26171875, 323.0, 1292.0, 5168.0, 1.1587056741809047e-40
4, 67, 323, 323, 323, 1.26171875, 5.046875, 20.1875, 1.26171875, 5.046875, 20.1875, 0.0049285888671875, 1.26171875, 5.046875, 20.1875, 4.526194039769159e-43
5, 1, 1, 1, 1, 0.00390625, 0.015625, 0.0625, 0.00390625, 0.015625, 0.0625, 1.52587890625e-05, 0.00390625, 0.015625, 0.0625, 1.401298464324817e-45
6, 0, 0, 0, 167772160, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2560.0, 655360.0, 2621440.0, 10485760.0, 6.162975822039155e-33
7, 0, 0, 655360, 655360, 0.0, 0.0, 0.0, 2560.0, 10240.0, 40960.0, 10.0, 2560.0, 10240.0, 40960.0, 9.183549615799121e-40
8, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
9, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
10, 0, 0, 0, 33554432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 512.0, 131072.0, 524288.0, 2097152.0, 9.4039548065783e-38
11, 0, 0, 131072, 131072, 0.0, 0.0, 0.0, 512.0, 2048.0, 8192.0, 2.0, 512.0, 2048.0, 8192.0, 1.8367099231598242e-40
12, 0, 512, 512, 512, 2.0, 8.0, 32.0, 2.0, 8.0, 32.0, 0.0078125, 2.0, 8.0, 32.0, 7.174648137343064e-43
13, 2, 2, 2, 4227858434, 0.0078125, 0.03125, 0.125, 0.0078125, 0.03125, 0.125, 64512.00003051758, 16515072.0078125, 66060288.03125, 264241152.125, -2.658456625395132e+36
14, 0, 0, 16515072, 2247884800, 0.0, 0.0, 0.0, 64512.0, 258048.0, 1032192.0, 34300.0, 8780800.0, 35123200.0, 140492800.0, -2.3697966112577316e-35
15, 0, 64512, 8780800, 8780800, 252.0, 1008.0, 4032.0, 34300.0, 137200.0, 548800.0, 133.984375, 34300.0, 137200.0, 548800.0, 1.2304521555543354e-38
16, 252, 34300, 34300, 34300, 133.984375, 535.9375, 2143.75, 133.984375, 535.9375, 2143.75, 0.52337646484375, 133.984375, 535.9375, 2143.75, 4.806453732634123e-41
