offset,8bit,short,24bit,32bit, fixed_8.8, fixed_10.6, fixed_12.4, fixed_16.8, fixed_18.6, fixed_20.4, fixed_16.16,fixed_24.8,fixed_26.6,fixed_28.4, float32
0, 0, 55040, 1562368, 1562368, 215.0, 860.0, 3440.0, 6103.0, 24412.0, 97648.0, 23.83984375, 6103.0, 24412.0, 97648.0, 2.1893438791102358e-39
1, 215, 6103, 6103, 2147489751, 23.83984375, 95.359375, 381.4375, 23.83984375, 95.359375, 381.4375, 32768.09312438965, 8388631.83984375, 33554527.359375, 134218109.4375, -8.552124527774359e-42
2, 23, 23, 8388631, 25165847, 0.08984375, 0.359375, 1.4375, 32768.08984375, 131072.359375, 524289.4375, 384.00035095214844, 98304.08984375, 393216.359375, 1572865.4375, 4.701990295235022e-38
3, 0, 32768, 98304, 98304, 128.0, 512.0, 2048.0, 384.0, 1536.0, 6144.0, 1.5, 384.0, 1536.0, 6144.0, 1.3775324423698682e-40
4, 128, 384, 384, 384, 1.5, 6.0, 24.0, 1.5, 6.0, 24.0, 0.005859375, 1.5, 6.0, 24.0, 5.3809861030072976e-43
5, 1, 1, 1, 1, 0.00390625, 0.015625, 0.0625, 0.00390625, 0.015625, 0.0625, 1.52587890625e-05, 0.00390625, 0.015625, 0.0625, 1.401298464324817e-45
6, 0, 0, 0, 167772160, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2560.0, 655360.0, 2621440.0, 10485760.0, 6.162975822039155e-33
7, 0, 0, 655360, 655360, 0.0, 0.0, 0.0, 2560.0, 10240.0, 40960.0, 10.0, 2560.0, 10240.0, 40960.0, 9.183549615799121e-40
8, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
9, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
10, 0, 0, 0, 33554432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 512.0, 131072.0, 524288.0, 2097152.0, 9.4039548065783e-38
11, 0, 0, 131072, 131072, 0.0, 0.0, 0.0, 512.0, 2048.0, 8192.0, 2.0, 512.0, 2048.0, 8192.0, 1.8367099231598242e-40
12, 0, 512, 512, 512, 2.0, 8.0, 32.0, 2.0, 8.0, 32.0, 0.0078125, 2.0, 8.0, 32.0, 7.174648137343064e-43
13, 2, 2, 2, 2214592514, 0.0078125, 0.03125, 0.125, 0.0078125, 0.03125, 0.125, 33792.00003051758, 8650752.0078125, 34603008.03125, 138412032.125, -1.504633127784935e-36
14, 0, 0, 8650752, 897843200, 0.0, 0.0, 0.0, 33792.0, 135168.0, 540672.0, 13700.0, 3507200.0, 14028800.0, 56115200.0, 9.834766387939453e-07
15, 0, 33792, 3507200, 3507200, 132.0, 528.0, 2112.0, 13700.0, 54800.0, 219200.0, 53.515625, 13700.0, 54800.0, 219200.0, 4.9146339740799984e-39
16, 132, 13700, 13700, 13700, 53.515625, 214.0625, 856.25, 53.515625, 214.0625, 856.25, 0.20904541015625, 53.515625, 214.0625, 856.25, 1.9197788961249994e-41
17, 53, 53, 53, 2013265973, 0.20703125, 0.828125, 3.3125, 0.20703125, 0.828125, 3.3125, 30720.00080871582, 7864320.20703125, 31457280.828125, 125829123.3125, 1.0384659327891737e+34
