offset,8bit,short,24bit,32bit, fixed_8.8, fixed_10.6, fixed_12.4, fixed_16.8, fixed_18.6, fixed_20.4, fixed_16.16,fixed_24.8,fixed_26.6,fixed_28.4, float32
0, 0, 23040, 809472, 809472, 90.0, 360.0, 1440.0, 3162.0, 12648.0, 50592.0, 12.3515625, 3162.0, 12648.0, 50592.0, 1.1343118705139383e-39
1, 90, 3162, 3162, 1929383002, 12.3515625, 49.40625, 197.625, 12.3515625, 49.40625, 197.625, 29440.048248291016, 7536652.3515625, 30146609.40625, 120586437.625, 1.0145027425267457e+31
2, 12, 12, 7536652, 7536652, 0.046875, 0.1875, 0.75, 29440.046875, 117760.1875, 471040.75, 115.00018310546875, 29440.046875, 117760.1875, 471040.75, 1.0561098873750561e-38
3, 0, 29440, 29440, 29440, 115.0, 460.0, 1840.0, 115.0, 460.0, 1840.0, 0.44921875, 115.0, 460.0, 1840.0, 4.1254226789722615e-41
4, 115, 115, 115, 115, 0.44921875, 1.796875, 7.1875, 0.44921875, 1.796875, 7.1875, 0.0017547607421875, 0.44921875, 1.796875, 7.1875, 1.6114932339735396e-43
5, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
6, 0, 0, 0, 167772160, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2560.0, 655360.0, 2621440.0, 10485760.0, 6.162975822039155e-33
7, 0, 0, 655360, 655360, 0.0, 0.0, 0.0, 2560.0, 10240.0, 40960.0, 10.0, 2560.0, 10240.0, 40960.0, 9.183549615799121e-40
8, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
9, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
10, 0, 0, 0, 33554432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 512.0, 131072.0, 524288.0, 2097152.0, 9.4039548065783e-38
11, 0, 0, 131072, 131072, 0.0, 0.0, 0.0, 512.0, 2048.0, 8192.0, 2.0, 512.0, 2048.0, 8192.0, 1.8367099231598242e-40
12, 0, 512, 512, 512, 2.0, 8.0, 32.0, 2.0, 8.0, 32.0, 0.0078125, 2.0, 8.0, 32.0, 7.174648137343064e-43
13, 2, 2, 2, 3590324226, 0.0078125, 0.03125, 0.125, 0.0078125, 0.03125, 0.125, 54784.00003051758, 14024704.0078125, 56098816.03125, 224395264.125, -35184380477440.0
14, 0, 0, 14024704, 534118400, 0.0, 0.0, 0.0, 54784.0, 219136.0, 876544.0, 8150.0, 2086400.0, 8345600.0, 33382400.0, 9.063252535621014e-20
15, 0, 54784, 2086400, 2086400, 214.0, 856.0, 3424.0, 8150.0, 32600.0, 130400.0, 31.8359375, 8150.0, 32600.0, 130400.0, 2.9236691159672983e-39
16, 214, 8150, 8150, 8150, 31.8359375, 127.34375, 509.375, 31.8359375, 127.34375, 509.375, 0.124359130859375, 31.8359375, 127.34375, 509.375, 1.1420582484247259e-41
17, 31, 31, 31, 1476395039, 0.12109375, 0.484375, 1.9375, 0.12109375, 0.484375, 1.9375, 22528.00047302246, 5767168.12109375, 23068672.484375, 92274689.9375, 562952033796096.0
18, 0, 0, 5767168, 2136473600, 0.0, 0.0, 0.0, 22528.0, 90112.0, 360448.0, 32600.0, 8345600.0, 33382400.0, 133529600.0, 2.8711324708954183e+38
19, 0, 22528, 8345600, 8345600, 88.0, 352.0, 1408.0, 32600.0, 130400.0, 521600.0, 127.34375, 32600.0, 130400.0, 521600.0, 1.1694676463869193e-38
20, 88, 32600, 32600, 32600, 127.34375, 509.375, 2037.5, 127.34375, 509.375, 2037.5, 0.4974365234375, 127.34375, 509.375, 2037.5, 4.5682329936989037e-41
21, 127, 127, 127, 127, 0.49609375, 1.984375, 7.9375, 0.49609375, 1.984375, 7.9375, 0.0019378662109375, 0.49609375, 1.984375, 7.9375, 1.7796490496925177e-43
22, 0, 0, 0, 469762048, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7168.0, 1835008.0, 7340032.0, 29360128.0, 4.235164736271502e-22
23, 0, 0, 1835008, 35389440, 0.0, 0.0, 0.0, 7168.0, 28672.0, 114688.0, 540.0, 138240.0, 552960.0, 2211840.0, 1.1461069920517303e-37
24, 0, 7168, 138240, 138240, 28.0, 112.0, 448.0, 540.0, 2160.0, 8640.0, 2.109375, 540.0, 2160.0, 8640.0, 1.937154997082627e-40
25, 28, 540, 540, 540, 2.109375, 8.4375, 33.75, 2.109375, 8.4375, 33.75, 0.00823974609375, 2.109375, 8.4375, 33.75, 7.567011707354012e-43
26, 2, 2, 2, 234881026, 0.0078125, 0.03125, 0.125, 0.0078125, 0.03125, 0.125, 3584.000030517578, 917504.0078125, 3670016.03125, 14680064.125, 1.577722186600216e-30
27, 0, 0, 917504, 17694720, 0.0, 0.0, 0.0, 3584.0, 14336.0, 57344.0, 270.0, 69120.0, 276480.0, 1105920.0, 2.6081280908869504e-38
28, 0, 3584, 69120, 69120, 14.0, 56.0, 224.0, 270.0, 1080.0, 4320.0, 1.0546875, 270.0, 1080.0, 4320.0, 9.685774985413136e-41
29, 14, 270, 270, 503316750, 1.0546875, 4.21875, 16.875, 1.0546875, 4.21875, 16.875, 7680.004119873047, 1966081.0546875, 7864324.21875, 31457296.875, 6.776481682297478e-21
30, 1, 1, 1966081, 52297729, 0.00390625, 0.015625, 0.0625, 7680.00390625, 30720.015625, 122880.0625, 798.0000152587891, 204288.00390625, 817152.015625, 3268608.0625, 4.643203134163544e-37
31, 0, 7680, 204288, 84090368, 30.0, 120.0, 480.0, 798.0, 3192.0, 12768.0, 1283.1171875, 328478.0, 1313912.0, 5255648.0, 6.165100528078266e-36
32, 30, 798, 328478, 328478, 3.1171875, 12.46875, 49.875, 1283.1171875, 5132.46875, 20529.875, 5.012176513671875, 1283.1171875, 5132.46875, 20529.875, 4.602957169644873e-40
33, 3, 1283, 1283, 335545603, 5.01171875, 20.046875, 80.1875, 5.01171875, 20.046875, 80.1875, 5120.019577026367, 1310725.01171875, 5242900.046875, 20971600.1875, 6.463336922817988e-27
34, 5, 5, 1310725, 1310725, 0.01953125, 0.078125, 0.3125, 5120.01953125, 20480.078125, 81920.3125, 20.000076293945312, 5120.01953125, 20480.078125, 81920.3125, 1.836716929652146e-39
35, 0, 5120, 5120, 5120, 20.0, 80.0, 320.0, 20.0, 80.0, 320.0, 0.078125, 20.0, 80.0, 320.0, 7.174648137343063e-42
36, 20, 20, 20, 20, 0.078125, 0.3125, 1.25, 0.078125, 0.3125, 1.25, 0.00030517578125, 0.078125, 0.3125, 1.25, 2.802596928649634e-44
