offset,8bit,short,24bit,32bit, fixed_8.8, fixed_10.6, fixed_12.4, fixed_16.8, fixed_18.6, fixed_20.4, fixed_16.16,fixed_24.8,fixed_26.6,fixed_28.4, float32
0, 0, 47104, 768000, 768000, 184.0, 736.0, 2944.0, 3000.0, 12000.0, 48000.0, 11.71875, 3000.0, 12000.0, 48000.0, 1.0761972206014595e-39
1, 184, 3000, 3000, 3000, 11.71875, 46.875, 187.5, 11.71875, 46.875, 187.5, 0.0457763671875, 11.71875, 46.875, 187.5, 4.203895392974451e-42
2, 11, 11, 11, 16777227, 0.04296875, 0.171875, 0.6875, 0.04296875, 0.171875, 0.6875, 256.0001678466797, 65536.04296875, 262144.171875, 1048576.6875, 2.3509917845011965e-38
3, 0, 0, 65536, 65536, 0.0, 0.0, 0.0, 256.0, 1024.0, 4096.0, 1.0, 256.0, 1024.0, 4096.0, 9.183549615799121e-41
4, 0, 256, 256, 256, 1.0, 4.0, 16.0, 1.0, 4.0, 16.0, 0.00390625, 1.0, 4.0, 16.0, 3.587324068671532e-43
5, 1, 1, 1, 1, 0.00390625, 0.015625, 0.0625, 0.00390625, 0.015625, 0.0625, 1.52587890625e-05, 0.00390625, 0.015625, 0.0625, 1.401298464324817e-45
6, 0, 0, 0, 167772160, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2560.0, 655360.0, 2621440.0, 10485760.0, 6.162975822039155e-33
7, 0, 0, 655360, 655360, 0.0, 0.0, 0.0, 2560.0, 10240.0, 40960.0, 10.0, 2560.0, 10240.0, 40960.0, 9.183549615799121e-40
8, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
9, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
10, 0, 0, 0, 33554432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 512.0, 131072.0, 524288.0, 2097152.0, 9.4039548065783e-38
11, 0, 0, 131072, 131072, 0.0, 0.0, 0.0, 512.0, 2048.0, 8192.0, 2.0, 512.0, 2048.0, 8192.0, 1.8367099231598242e-40
12, 0, 512, 512, 512, 2.0, 8.0, 32.0, 2.0, 8.0, 32.0, 0.0078125, 2.0, 8.0, 32.0, 7.174648137343064e-43
13, 2, 2, 2, 3841982466, 0.0078125, 0.03125, 0.125, 0.0078125, 0.03125, 0.125, 58624.00003051758, 15007744.0078125, 60030976.03125, 240123904.125, -3.777894087015642e+22
14, 0, 0, 15007744, 535101440, 0.0, 0.0, 0.0, 58624.0, 234496.0, 937984.0, 8165.0, 2090240.0, 8360960.0, 33443840.0, 9.698527246061739e-20
15, 0, 58624, 2090240, 2090240, 229.0, 916.0, 3664.0, 8165.0, 32660.0, 130640.0, 31.89453125, 8165.0, 32660.0, 130640.0, 2.9290501020703056e-39
16, 229, 8165, 8165, 8165, 31.89453125, 127.578125, 510.3125, 31.89453125, 127.578125, 510.3125, 0.1245880126953125, 31.89453125, 127.578125, 510.3125, 1.1441601961212131e-41
17, 31, 31, 31, 31, 0.12109375, 0.484375, 1.9375, 0.12109375, 0.484375, 1.9375, 0.0004730224609375, 0.12109375, 0.484375, 1.9375, 4.344025239406933e-44
