offset,8bit,short,24bit,32bit, fixed_8.8, fixed_10.6, fixed_12.4, fixed_16.8, fixed_18.6, fixed_20.4, fixed_16.16,fixed_24.8,fixed_26.6,fixed_28.4, float32
0, 0, 32768, 819200, 819200, 128.0, 512.0, 2048.0, 3200.0, 12800.0, 51200.0, 12.5, 3200.0, 12800.0, 51200.0, 1.1479437019748901e-39
1, 128, 3200, 3200, 3170897024, 12.5, 50.0, 200.0, 12.5, 50.0, 200.0, 48384.048828125, 12386316.5, 49545266.0, 198181064.0, -0.03126192092895508
2, 12, 12, 12386316, 12386316, 0.046875, 0.1875, 0.75, 48384.046875, 193536.1875, 774144.75, 189.00018310546875, 48384.046875, 193536.1875, 774144.75, 1.735692558944191e-38
3, 0, 48384, 48384, 48384, 189.0, 756.0, 3024.0, 189.0, 756.0, 3024.0, 0.73828125, 189.0, 756.0, 3024.0, 6.780042489789195e-41
4, 189, 189, 189, 189, 0.73828125, 2.953125, 11.8125, 0.73828125, 2.953125, 11.8125, 0.0028839111328125, 0.73828125, 2.953125, 11.8125, 2.6484540975739043e-43
5, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
6, 0, 0, 0, 167772160, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2560.0, 655360.0, 2621440.0, 10485760.0, 6.162975822039155e-33
7, 0, 0, 655360, 655360, 0.0, 0.0, 0.0, 2560.0, 10240.0, 40960.0, 10.0, 2560.0, 10240.0, 40960.0, 9.183549615799121e-40
8, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
9, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
10, 0, 0, 0, 33554432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 512.0, 131072.0, 524288.0, 2097152.0, 9.4039548065783e-38
11, 0, 0, 131072, 131072, 0.0, 0.0, 0.0, 512.0, 2048.0, 8192.0, 2.0, 512.0, 2048.0, 8192.0, 1.8367099231598242e-40
12, 0, 512, 512, 512, 2.0, 8.0, 32.0, 2.0, 8.0, 32.0, 0.0078125, 2.0, 8.0, 32.0, 7.174648137343064e-43
13, 2, 2, 2, 503316482, 0.0078125, 0.03125, 0.125, 0.0078125, 0.03125, 0.125, 7680.000030517578, 1966080.0078125, 7864320.03125, 31457280.125, 6.776265193621537e-21
14, 0, 0, 1966080, 505282560, 0.0, 0.0, 0.0, 7680.0, 30720.0, 122880.0, 7710.0, 1973760.0, 7895040.0, 31580160.0, 8.364450354136216e-21
15, 0, 7680, 1973760, 1973760, 30.0, 120.0, 480.0, 7710.0, 30840.0, 123360.0, 30.1171875, 7710.0, 30840.0, 123360.0, 2.765826856945751e-39
