offset,8bit,short,24bit,32bit, fixed_8.8, fixed_10.6, fixed_12.4, fixed_16.8, fixed_18.6, fixed_20.4, fixed_16.16,fixed_24.8,fixed_26.6,fixed_28.4, float32
0, 0, 25088, 1794560, 1794560, 98.0, 392.0, 1568.0, 7010.0, 28040.0, 112160.0, 27.3828125, 7010.0, 28040.0, 112160.0, 2.5147141721387437e-39
1, 98, 7010, 7010, 7010, 27.3828125, 109.53125, 438.125, 27.3828125, 109.53125, 438.125, 0.106964111328125, 27.3828125, 109.53125, 438.125, 9.823102234916968e-42
2, 27, 27, 27, 33554459, 0.10546875, 0.421875, 1.6875, 0.10546875, 0.421875, 1.6875, 512.0004119873047, 131072.10546875, 524288.421875, 2097153.6875, 9.40398507462513e-38
3, 0, 0, 131072, 131072, 0.0, 0.0, 0.0, 512.0, 2048.0, 8192.0, 2.0, 512.0, 2048.0, 8192.0, 1.8367099231598242e-40
4, 0, 512, 512, 512, 2.0, 8.0, 32.0, 2.0, 8.0, 32.0, 0.0078125, 2.0, 8.0, 32.0, 7.174648137343064e-43
5, 2, 2, 2, 2, 0.0078125, 0.03125, 0.125, 0.0078125, 0.03125, 0.125, 3.0517578125e-05, 0.0078125, 0.03125, 0.125, 2.802596928649634e-45
6, 0, 0, 0, 167772160, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2560.0, 655360.0, 2621440.0, 10485760.0, 6.162975822039155e-33
7, 0, 0, 655360, 655360, 0.0, 0.0, 0.0, 2560.0, 10240.0, 40960.0, 10.0, 2560.0, 10240.0, 40960.0, 9.183549615799121e-40
8, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
9, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
10, 0, 0, 0, 33554432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 512.0, 131072.0, 524288.0, 2097152.0, 9.4039548065783e-38
11, 0, 0, 131072, 131072, 0.0, 0.0, 0.0, 512.0, 2048.0, 8192.0, 2.0, 512.0, 2048.0, 8192.0, 1.8367099231598242e-40
12, 0, 512, 512, 512, 2.0, 8.0, 32.0, 2.0, 8.0, 32.0, 0.0078125, 2.0, 8.0, 32.0, 7.174648137343064e-43
13, 2, 2, 2, 436207618, 0.0078125, 0.03125, 0.125, 0.0078125, 0.03125, 0.125, 6656.000030517578, 1703936.0078125, 6815744.03125, 27262976.125, 2.646978591258413e-23
14, 0, 0, 1703936, 1159331840, 0.0, 0.0, 0.0, 6656.0, 26624.0, 106496.0, 17690.0, 4528640.0, 18114560.0, 72458240.0, 2464.0
15, 0, 6656, 4528640, 4528640, 26.0, 104.0, 416.0, 17690.0, 70760.0, 283040.0, 69.1015625, 17690.0, 70760.0, 283040.0, 6.34597627747994e-39
16, 26, 17690, 17690, 17690, 69.1015625, 276.40625, 1105.625, 69.1015625, 276.40625, 1105.625, 0.269927978515625, 69.1015625, 276.40625, 1105.625, 2.4788969833906014e-41
17, 69, 69, 69, 1073741893, 0.26953125, 1.078125, 4.3125, 0.26953125, 1.078125, 4.3125, 16384.001052856445, 4194304.26953125, 16777217.078125, 67108868.3125, 2.000016450881958
18, 0, 0, 4194304, 2621440000, 0.0, 0.0, 0.0, 16384.0, 65536.0, 262144.0, 40000.0, 10240000.0, 40960000.0, 163840000.0, -6.352747104407253e-22
19, 0, 16384, 10240000, 10240000, 64.0, 256.0, 1024.0, 40000.0, 160000.0, 640000.0, 156.25, 40000.0, 160000.0, 640000.0, 1.4349296274686127e-38
20, 64, 40000, 40000, 40000, 156.25, 625.0, 2500.0, 156.25, 625.0, 2500.0, 0.6103515625, 156.25, 625.0, 2500.0, 5.605193857299268e-41
21, 156, 156, 156, 156, 0.609375, 2.4375, 9.75, 0.609375, 2.4375, 9.75, 0.00238037109375, 0.609375, 2.4375, 9.75, 2.1860256043467146e-43
22, 0, 0, 0, 3355443200, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51200.0, 13107200.0, 52428800.0, 209715200.0, -131072.0
23, 0, 0, 13107200, 13107200, 0.0, 0.0, 0.0, 51200.0, 204800.0, 819200.0, 200.0, 51200.0, 204800.0, 819200.0, 1.8367099231598242e-38
24, 0, 51200, 51200, 51200, 200.0, 800.0, 3200.0, 200.0, 800.0, 3200.0, 0.78125, 200.0, 800.0, 3200.0, 7.174648137343063e-41
25, 200, 200, 200, 200, 0.78125, 3.125, 12.5, 0.78125, 3.125, 12.5, 0.0030517578125, 0.78125, 3.125, 12.5, 2.802596928649634e-43
26, 0, 0, 0, 3942645760, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60160.0, 15400960.0, 61603840.0, 246415360.0, -1.5474250491067253e+26
27, 0, 0, 15400960, 15400960, 0.0, 0.0, 0.0, 60160.0, 240640.0, 962560.0, 235.0, 60160.0, 240640.0, 962560.0, 2.1581341597127935e-38
28, 0, 60160, 60160, 60160, 235.0, 940.0, 3760.0, 235.0, 940.0, 3760.0, 0.91796875, 235.0, 940.0, 3760.0, 8.4302115613781e-41
29, 235, 235, 235, 503316715, 0.91796875, 3.671875, 14.6875, 0.91796875, 3.671875, 14.6875, 7680.00358581543, 1966080.91796875, 7864323.671875, 31457294.6875, 6.776453409522635e-21
30, 0, 0, 1966080, 52297728, 0.0, 0.0, 0.0, 7680.0, 30720.0, 122880.0, 798.0, 204288.0, 817152.0, 3268608.0, 4.643202685748036e-37
31, 0, 7680, 204288, 84090368, 30.0, 120.0, 480.0, 798.0, 3192.0, 12768.0, 1283.1171875, 328478.0, 1313912.0, 5255648.0, 6.165100528078266e-36
32, 30, 798, 328478, 328478, 3.1171875, 12.46875, 49.875, 1283.1171875, 5132.46875, 20529.875, 5.012176513671875, 1283.1171875, 5132.46875, 20529.875, 4.602957169644873e-40
33, 3, 1283, 1283, 167773443, 5.01171875, 20.046875, 80.1875, 5.01171875, 20.046875, 80.1875, 2560.019577026367, 655365.01171875, 2621460.046875, 10485840.1875, 6.16391842157172e-33
34, 5, 5, 655365, 655365, 0.01953125, 0.078125, 0.3125, 2560.01953125, 10240.078125, 40960.3125, 10.000076293945312, 2560.01953125, 10240.078125, 40960.3125, 9.183619680722337e-40
35, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
36, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
37, 0, 0, 0, 2348810240, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35840.0, 9175040.0, 36700160.0, 146800640.0, -9.860761315262648e-32
38, 0, 0, 9175040, 9175040, 0.0, 0.0, 0.0, 35840.0, 143360.0, 573440.0, 140.0, 35840.0, 143360.0, 573440.0, 1.285696946211877e-38
39, 0, 35840, 35840, 35840, 140.0, 560.0, 2240.0, 140.0, 560.0, 2240.0, 0.546875, 140.0, 560.0, 2240.0, 5.022253696140144e-41
40, 140, 140, 140, 167772300, 0.546875, 2.1875, 8.75, 0.546875, 2.1875, 8.75, 2560.0021362304688, 655360.546875, 2621442.1875, 10485768.75, 6.163078677794852e-33
41, 0, 0, 655360, 839516160, 0.0, 0.0, 0.0, 2560.0, 10240.0, 40960.0, 12810.0, 3279360.0, 13117440.0, 52469760.0, 8.032657206058502e-09
42, 0, 2560, 3279360, 87165440, 10.0, 40.0, 160.0, 12810.0, 51240.0, 204960.0, 1330.0390625, 340490.0, 1361960.0, 5447840.0, 8.371356487777847e-36
43, 10, 12810, 340490, 340490, 50.0390625, 200.15625, 800.625, 1330.0390625, 5320.15625, 21280.625, 5.195465087890625, 1330.0390625, 5320.15625, 21280.625, 4.77128114117957e-40
44, 50, 1330, 1330, 1342178610, 5.1953125, 20.78125, 83.125, 5.1953125, 20.78125, 83.125, 20480.020294189453, 5242885.1953125, 20971540.78125, 83886163.125, 8591296512.0
45, 5, 5, 5242885, 5242885, 0.01953125, 0.078125, 0.3125, 20480.01953125, 81920.078125, 327680.3125, 80.00007629394531, 20480.01953125, 81920.078125, 327680.3125, 7.346846699131619e-39
46, 0, 20480, 20480, 20480, 80.0, 320.0, 1280.0, 80.0, 320.0, 1280.0, 0.3125, 80.0, 320.0, 1280.0, 2.8698592549372254e-41
47, 80, 80, 80, 855638096, 0.3125, 1.25, 5.0, 0.3125, 1.25, 5.0, 13056.001220703125, 3342336.3125, 13369345.25, 53477381.0, 2.9802606604789617e-08
48, 0, 0, 3342336, 3342336, 0.0, 0.0, 0.0, 13056.0, 52224.0, 208896.0, 51.0, 13056.0, 52224.0, 208896.0, 4.683610304057552e-39
49, 0, 13056, 13056, 13056, 51.0, 204.0, 816.0, 51.0, 204.0, 816.0, 0.19921875, 51.0, 204.0, 816.0, 1.8295352750224812e-41
50, 51, 51, 51, 51, 0.19921875, 0.796875, 3.1875, 0.19921875, 0.796875, 3.1875, 0.0007781982421875, 0.19921875, 0.796875, 3.1875, 7.146622168056567e-44
51, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
52, 0, 0, 0, 117440512, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1792.0, 458752.0, 1835008.0, 7340032.0, 9.62964972193618e-35
53, 0, 0, 458752, 458752, 0.0, 0.0, 0.0, 1792.0, 7168.0, 28672.0, 7.0, 1792.0, 7168.0, 28672.0, 6.428484731059385e-40
54, 0, 1792, 1792, 1792, 7.0, 28.0, 112.0, 7.0, 28.0, 112.0, 0.02734375, 7.0, 28.0, 112.0, 2.5111268480700722e-42
55, 7, 7, 7, 503316487, 0.02734375, 0.109375, 0.4375, 0.02734375, 0.109375, 0.4375, 7680.000106811523, 1966080.02734375, 7864320.109375, 31457280.4375, 6.776269232589371e-21
56, 0, 0, 1966080, 169738240, 0.0, 0.0, 0.0, 7680.0, 30720.0, 122880.0, 2590.0, 663040.0, 2652160.0, 10608640.0, 7.607423280329582e-33
57, 0, 7680, 663040, 151657984, 30.0, 120.0, 480.0, 2590.0, 10360.0, 41440.0, 2314.1171875, 592414.0, 2369656.0, 9478624.0, 1.6625251702549777e-33
58, 30, 2590, 592414, 2802387486, 10.1171875, 40.46875, 161.875, 2314.1171875, 9256.46875, 37025.875, 42761.03952026367, 10946826.1171875, 43787304.46875, 175149217.875, -1.9018053835039277e-15
59, 10, 2314, 10946826, 44501258, 9.0390625, 36.15625, 144.625, 42761.0390625, 171044.15625, 684176.625, 679.0353088378906, 173833.0390625, 695332.15625, 2781328.625, 2.454363274084957e-37
60, 9, 42761, 173833, 1174578953, 167.03515625, 668.140625, 2672.5625, 679.03515625, 2716.140625, 10864.5625, 17922.6524810791, 4588199.03515625, 18352796.140625, 73411184.5625, 8361.7587890625
61, 167, 679, 4588199, 4588199, 2.65234375, 10.609375, 42.4375, 17922.65234375, 71690.609375, 286762.4375, 70.01036071777344, 17922.65234375, 71690.609375, 286762.4375, 6.429436212716661e-39
62, 2, 17922, 17922, 3187688962, 70.0078125, 280.03125, 1120.125, 70.0078125, 280.03125, 1120.125, 48640.27346801758, 12451910.0078125, 49807640.03125, 199230560.125, -0.12526705861091614
63, 70, 70, 12451910, 12451910, 0.2734375, 1.09375, 4.375, 48640.2734375, 194561.09375, 778244.375, 190.00106811523438, 48640.2734375, 194561.09375, 778244.375, 1.7448842360910833e-38
64, 0, 48640, 48640, 3707813376, 190.0, 760.0, 3040.0, 190.0, 760.0, 3040.0, 56576.7421875, 14483646.0, 57934584.0, 231738336.0, -5.798032676518625e+17
65, 190, 190, 14483646, 719126718, 0.7421875, 2.96875, 11.875, 56576.7421875, 226306.96875, 905227.875, 10973.002899169922, 2809088.7421875, 11236354.96875, 44945419.875, 3.9258001146777466e-13
