offset,8bit,short,24bit,32bit, fixed_8.8, fixed_10.6, fixed_12.4, fixed_16.8, fixed_18.6, fixed_20.4, fixed_16.16,fixed_24.8,fixed_26.6,fixed_28.4, float32
0, 0, 16384, 2048000, 2048000, 64.0, 256.0, 1024.0, 8000.0, 32000.0, 128000.0, 31.25, 8000.0, 32000.0, 128000.0, 2.8698592549372254e-39
1, 64, 8000, 8000, 3003129664, 31.25, 125.0, 500.0, 31.25, 125.0, 500.0, 45824.1220703125, 11730975.25, 46923901.0, 187695604.0, -2.9830744097125717e-08
2, 31, 31, 11730975, 11730975, 0.12109375, 0.484375, 1.9375, 45824.12109375, 183296.484375, 733185.9375, 179.00047302246094, 45824.12109375, 183296.484375, 733185.9375, 1.643859725253282e-38
3, 0, 45824, 45824, 45824, 179.0, 716.0, 2864.0, 179.0, 716.0, 2864.0, 0.69921875, 179.0, 716.0, 2864.0, 6.421310082922042e-41
4, 179, 179, 179, 179, 0.69921875, 2.796875, 11.1875, 0.69921875, 2.796875, 11.1875, 0.0027313232421875, 0.69921875, 2.796875, 11.1875, 2.5083242511414226e-43
5, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
6, 0, 0, 0, 167772160, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2560.0, 655360.0, 2621440.0, 10485760.0, 6.162975822039155e-33
7, 0, 0, 655360, 655360, 0.0, 0.0, 0.0, 2560.0, 10240.0, 40960.0, 10.0, 2560.0, 10240.0, 40960.0, 9.183549615799121e-40
8, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
9, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
10, 0, 0, 0, 33554432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 512.0, 131072.0, 524288.0, 2097152.0, 9.4039548065783e-38
11, 0, 0, 131072, 131072, 0.0, 0.0, 0.0, 512.0, 2048.0, 8192.0, 2.0, 512.0, 2048.0, 8192.0, 1.8367099231598242e-40
12, 0, 512, 512, 512, 2.0, 8.0, 32.0, 2.0, 8.0, 32.0, 0.0078125, 2.0, 8.0, 32.0, 7.174648137343064e-43
13, 2, 2, 2, 536870914, 0.0078125, 0.03125, 0.125, 0.0078125, 0.03125, 0.125, 8192.000030517578, 2097152.0078125, 8388608.03125, 33554432.125, 1.0842024309794459e-19
14, 0, 0, 2097152, 1310720000, 0.0, 0.0, 0.0, 8192.0, 32768.0, 131072.0, 20000.0, 5120000.0, 20480000.0, 81920000.0, 671088640.0
15, 0, 8192, 5120000, 5120000, 32.0, 128.0, 512.0, 20000.0, 80000.0, 320000.0, 78.125, 20000.0, 80000.0, 320000.0, 7.174648137343063e-39
16, 32, 20000, 20000, 20000, 78.125, 312.5, 1250.0, 78.125, 312.5, 1250.0, 0.30517578125, 78.125, 312.5, 1250.0, 2.802596928649634e-41
17, 78, 78, 78, 536870990, 0.3046875, 1.21875, 4.875, 0.3046875, 1.21875, 4.875, 8192.001190185547, 2097152.3046875, 8388609.21875, 33554436.875, 1.08421225374922e-19
18, 0, 0, 2097152, 1310720000, 0.0, 0.0, 0.0, 8192.0, 32768.0, 131072.0, 20000.0, 5120000.0, 20480000.0, 81920000.0, 671088640.0
19, 0, 8192, 5120000, 5120000, 32.0, 128.0, 512.0, 20000.0, 80000.0, 320000.0, 78.125, 20000.0, 80000.0, 320000.0, 7.174648137343063e-39
20, 32, 20000, 20000, 20000, 78.125, 312.5, 1250.0, 78.125, 312.5, 1250.0, 0.30517578125, 78.125, 312.5, 1250.0, 2.802596928649634e-41
21, 78, 78, 78, 78, 0.3046875, 1.21875, 4.875, 0.3046875, 1.21875, 4.875, 0.001190185546875, 0.3046875, 1.21875, 4.875, 1.0930128021733573e-43
22, 0, 0, 0, 3422552064, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 52224.0, 13369344.0, 53477376.0, 213909504.0, -33554432.0
23, 0, 0, 13369344, 30146560, 0.0, 0.0, 0.0, 52224.0, 208896.0, 835584.0, 460.0, 117760.0, 471040.0, 1884160.0, 7.493776486492083e-38
24, 0, 52224, 117760, 117760, 204.0, 816.0, 3264.0, 460.0, 1840.0, 7360.0, 1.796875, 460.0, 1840.0, 7360.0, 1.6501690715889046e-40
25, 204, 460, 460, 460, 1.796875, 7.1875, 28.75, 1.796875, 7.1875, 28.75, 0.00701904296875, 1.796875, 7.1875, 28.75, 6.4459729358941585e-43
26, 1, 1, 1, 4194304001, 0.00390625, 0.015625, 0.0625, 0.00390625, 0.015625, 0.0625, 64000.00001525879, 16384000.00390625, 65536000.015625, 262144000.0625, -1.661535192801551e+35
27, 0, 0, 16384000, 16384000, 0.0, 0.0, 0.0, 64000.0, 256000.0, 1024000.0, 250.0, 64000.0, 256000.0, 1024000.0, 2.2958874039497803e-38
28, 0, 64000, 64000, 64000, 250.0, 1000.0, 4000.0, 250.0, 1000.0, 4000.0, 0.9765625, 250.0, 1000.0, 4000.0, 8.968310171678829e-41
29, 250, 250, 250, 503316730, 0.9765625, 3.90625, 15.625, 0.9765625, 3.90625, 15.625, 7680.003814697266, 1966080.9765625, 7864323.90625, 31457295.625, 6.77646552642614e-21
30, 0, 0, 1966080, 52297728, 0.0, 0.0, 0.0, 7680.0, 30720.0, 122880.0, 798.0, 204288.0, 817152.0, 3268608.0, 4.643202685748036e-37
31, 0, 7680, 204288, 84090368, 30.0, 120.0, 480.0, 798.0, 3192.0, 12768.0, 1283.1171875, 328478.0, 1313912.0, 5255648.0, 6.165100528078266e-36
32, 30, 798, 328478, 328478, 3.1171875, 12.46875, 49.875, 1283.1171875, 5132.46875, 20529.875, 5.012176513671875, 1283.1171875, 5132.46875, 20529.875, 4.602957169644873e-40
33, 3, 1283, 1283, 167773443, 5.01171875, 20.046875, 80.1875, 5.01171875, 20.046875, 80.1875, 2560.019577026367, 655365.01171875, 2621460.046875, 10485840.1875, 6.16391842157172e-33
34, 5, 5, 655365, 655365, 0.01953125, 0.078125, 0.3125, 2560.01953125, 10240.078125, 40960.3125, 10.000076293945312, 2560.01953125, 10240.078125, 40960.3125, 9.183619680722337e-40
35, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
36, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
37, 0, 0, 0, 3355443200, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51200.0, 13107200.0, 52428800.0, 209715200.0, -131072.0
38, 0, 0, 13107200, 13107200, 0.0, 0.0, 0.0, 51200.0, 204800.0, 819200.0, 200.0, 51200.0, 204800.0, 819200.0, 1.8367099231598242e-38
39, 0, 51200, 51200, 51200, 200.0, 800.0, 3200.0, 200.0, 800.0, 3200.0, 0.78125, 200.0, 800.0, 3200.0, 7.174648137343063e-41
40, 200, 200, 200, 1006633160, 0.78125, 3.125, 12.5, 0.78125, 3.125, 12.5, 15360.003051757812, 3932160.78125, 15728643.125, 62914572.5, 0.007812686264514923
41, 0, 0, 3932160, 842792960, 0.0, 0.0, 0.0, 15360.0, 61440.0, 245760.0, 12860.0, 3292160.0, 13168640.0, 52674560.0, 1.0943040251731873e-08
42, 0, 15360, 3292160, 842152960, 60.0, 240.0, 960.0, 12860.0, 51440.0, 205760.0, 12850.234375, 3289660.0, 13158640.0, 52634560.0, 1.0374606063123792e-08
43, 60, 12860, 3289660, 3289660, 50.234375, 200.9375, 803.75, 12850.234375, 51400.9375, 205603.75, 50.19622802734375, 12850.234375, 51400.9375, 205603.75, 4.609795506150778e-39
44, 50, 12850, 12850, 1090531890, 50.1953125, 200.78125, 803.125, 50.1953125, 200.78125, 803.125, 16640.196075439453, 4259890.1953125, 17039560.78125, 68158243.125, 8.01225471496582
45, 50, 50, 4259890, 4259890, 0.1953125, 0.78125, 3.125, 16640.1953125, 66560.78125, 266243.125, 65.00076293945312, 16640.1953125, 66560.78125, 266243.125, 5.969377315192645e-39
46, 0, 16640, 16640, 16640, 65.0, 260.0, 1040.0, 65.0, 260.0, 1040.0, 0.25390625, 65.0, 260.0, 1040.0, 2.3317606446364956e-41
47, 65, 65, 65, 637534273, 0.25390625, 1.015625, 4.0625, 0.25390625, 1.015625, 4.0625, 9728.000991821289, 2490368.25390625, 9961473.015625, 39845892.0625, 4.440926509214108e-16
48, 0, 0, 2490368, 2490368, 0.0, 0.0, 0.0, 9728.0, 38912.0, 155648.0, 38.0, 9728.0, 38912.0, 155648.0, 3.489748854003666e-39
49, 0, 9728, 9728, 9728, 38.0, 152.0, 608.0, 38.0, 152.0, 608.0, 0.1484375, 38.0, 152.0, 608.0, 1.363183146095182e-41
50, 38, 38, 38, 38, 0.1484375, 0.59375, 2.375, 0.1484375, 0.59375, 2.375, 0.000579833984375, 0.1484375, 0.59375, 2.375, 5.324934164434305e-44
51, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
52, 0, 0, 0, 117440512, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1792.0, 458752.0, 1835008.0, 7340032.0, 9.62964972193618e-35
53, 0, 0, 458752, 458752, 0.0, 0.0, 0.0, 1792.0, 7168.0, 28672.0, 7.0, 1792.0, 7168.0, 28672.0, 6.428484731059385e-40
54, 0, 1792, 1792, 1792, 7.0, 28.0, 112.0, 7.0, 28.0, 112.0, 0.02734375, 7.0, 28.0, 112.0, 2.5111268480700722e-42
55, 7, 7, 7, 587202567, 0.02734375, 0.109375, 0.4375, 0.02734375, 0.109375, 0.4375, 8960.000106811523, 2293760.02734375, 9175040.109375, 36700160.4375, 6.938899694171516e-18
56, 0, 0, 2293760, 253952000, 0.0, 0.0, 0.0, 8960.0, 35840.0, 143360.0, 3875.0, 992000.0, 3968000.0, 15872000.0, 8.036520471939058e-30
57, 0, 8960, 992000, 151986944, 35.0, 140.0, 560.0, 3875.0, 15500.0, 62000.0, 2319.13671875, 593699.0, 2374796.0, 9499184.0, 1.7229455798872432e-33
58, 35, 3875, 593699, 2299072291, 15.13671875, 60.546875, 242.1875, 2319.13671875, 9276.546875, 37106.1875, 35081.05912780762, 8980751.13671875, 35923004.546875, 143692018.1875, -1.649789239976795e-33
59, 15, 2319, 8980751, 42535183, 9.05859375, 36.234375, 144.9375, 35081.05859375, 140324.234375, 561296.9375, 649.0353851318359, 166153.05859375, 664612.234375, 2658448.9375, 2.0135540135653704e-37
60, 9, 35081, 166153, 1174571273, 137.03515625, 548.140625, 2192.5625, 649.03515625, 2596.140625, 10384.5625, 17922.5352935791, 4588169.03515625, 18352676.140625, 73410704.5625, 8354.2587890625
61, 137, 649, 4588169, 4588169, 2.53515625, 10.140625, 40.5625, 17922.53515625, 71690.140625, 286760.5625, 70.00990295410156, 17922.53515625, 71690.140625, 286760.5625, 6.429394173762732e-39
62, 2, 17922, 17922, 3187688962, 70.0078125, 280.03125, 1120.125, 70.0078125, 280.03125, 1120.125, 48640.27346801758, 12451910.0078125, 49807640.03125, 199230560.125, -0.12526705861091614
63, 70, 70, 12451910, 12451910, 0.2734375, 1.09375, 4.375, 48640.2734375, 194561.09375, 778244.375, 190.00106811523438, 48640.2734375, 194561.09375, 778244.375, 1.7448842360910833e-38
64, 0, 48640, 48640, 3707813376, 190.0, 760.0, 3040.0, 190.0, 760.0, 3040.0, 56576.7421875, 14483646.0, 57934584.0, 231738336.0, -5.798032676518625e+17
65, 190, 190, 14483646, 719126718, 0.7421875, 2.96875, 11.875, 56576.7421875, 226306.96875, 905227.875, 10973.002899169922, 2809088.7421875, 11236354.96875, 44945419.875, 3.9258001146777466e-13
66, 0, 56576, 2809088, 2809088, 221.0, 884.0, 3536.0, 10973.0, 43892.0, 175568.0, 42.86328125, 10973.0, 43892.0, 175568.0, 3.936370700553272e-39
67, 221, 10973, 10973, 10973, 42.86328125, 171.453125, 685.8125, 42.86328125, 171.453125, 685.8125, 0.1674346923828125, 42.86328125, 171.453125, 685.8125, 1.5376448049036218e-41
68, 42, 42, 42, 50331690, 0.1640625, 0.65625, 2.625, 0.1640625, 0.65625, 2.625, 768.0006408691406, 196608.1640625, 786432.65625, 3145730.625, 3.7616007560826806e-37
69, 0, 0, 196608, 16973824, 0.0, 0.0, 0.0, 768.0, 3072.0, 12288.0, 259.0, 66304.0, 265216.0, 1060864.0, 2.40608999933937e-38
70, 0, 768, 66304, 0, 3.0, 12.0, 48.0, 259.0, 1036.0, 4144.0, 0, 0, 0, 0, 0
71, 3, 259, 0, 0, 1.01171875, 4.046875, 16.1875, 0, 0, 0, 0, 0, 0, 0, 0
72, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
