offset,8bit,short,24bit,32bit, fixed_8.8, fixed_10.6, fixed_12.4, fixed_16.8, fixed_18.6, fixed_20.4, fixed_16.16,fixed_24.8,fixed_26.6,fixed_28.4, float32
0, 0, 51200, 2934784, 19712000, 200.0, 800.0, 3200.0, 11464.0, 45856.0, 183424.0, 300.78125, 77000.0, 308000.0, 1232000.0, 3.173490364109584e-38
1, 200, 11464, 77000, 2147560648, 44.78125, 179.125, 716.5, 300.78125, 1203.125, 4812.5, 32769.17492675781, 8388908.78125, 33555635.125, 134222540.5, -1.0789998175301091e-40
2, 44, 300, 8388908, 25166124, 1.171875, 4.6875, 18.75, 32769.171875, 131076.6875, 524306.75, 384.00457763671875, 98305.171875, 393220.6875, 1572882.75, 4.702145559104869e-38
3, 1, 32769, 98305, 98305, 128.00390625, 512.015625, 2048.0625, 384.00390625, 1536.015625, 6144.0625, 1.5000152587890625, 384.00390625, 1536.015625, 6144.0625, 1.3775464553545114e-40
4, 128, 384, 384, 384, 1.5, 6.0, 24.0, 1.5, 6.0, 24.0, 0.005859375, 1.5, 6.0, 24.0, 5.3809861030072976e-43
5, 1, 1, 1, 1, 0.00390625, 0.015625, 0.0625, 0.00390625, 0.015625, 0.0625, 1.52587890625e-05, 0.00390625, 0.015625, 0.0625, 1.401298464324817e-45
6, 0, 0, 0, 167772160, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2560.0, 655360.0, 2621440.0, 10485760.0, 6.162975822039155e-33
7, 0, 0, 655360, 655360, 0.0, 0.0, 0.0, 2560.0, 10240.0, 40960.0, 10.0, 2560.0, 10240.0, 40960.0, 9.183549615799121e-40
8, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
9, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
10, 0, 0, 0, 33554432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 512.0, 131072.0, 524288.0, 2097152.0, 9.4039548065783e-38
11, 0, 0, 131072, 131072, 0.0, 0.0, 0.0, 512.0, 2048.0, 8192.0, 2.0, 512.0, 2048.0, 8192.0, 1.8367099231598242e-40
12, 0, 512, 512, 512, 2.0, 8.0, 32.0, 2.0, 8.0, 32.0, 0.0078125, 2.0, 8.0, 32.0, 7.174648137343064e-43
13, 2, 2, 2, 2147483650, 0.0078125, 0.03125, 0.125, 0.0078125, 0.03125, 0.125, 32768.00003051758, 8388608.0078125, 33554432.03125, 134217728.125, -2.802596928649634e-45
14, 0, 0, 8388608, 947912704, 0.0, 0.0, 0.0, 32768.0, 131072.0, 524288.0, 14464.0, 3702784.0, 14811136.0, 59244544.0, 6.103515625e-05
15, 0, 32768, 3702784, 20480000, 128.0, 512.0, 2048.0, 14464.0, 57856.0, 231424.0, 312.5, 80000.0, 320000.0, 1280000.0, 3.3887298082298757e-38
