offset,8bit,short,24bit,32bit, fixed_8.8, fixed_10.6, fixed_12.4, fixed_16.8, fixed_18.6, fixed_20.4, fixed_16.16,fixed_24.8,fixed_26.6,fixed_28.4, float32
0, 0, 22528, 1792000, 1792000, 88.0, 352.0, 1408.0, 7000.0, 28000.0, 112000.0, 27.34375, 7000.0, 28000.0, 112000.0, 2.5111268480700722e-39
1, 88, 7000, 7000, 1275075416, 27.34375, 109.375, 437.5, 27.34375, 109.375, 437.5, 19456.106811523438, 4980763.34375, 19923053.375, 79692213.5, 33582432.0
2, 27, 27, 4980763, 21757979, 0.10546875, 0.421875, 1.6875, 19456.10546875, 77824.421875, 311297.6875, 332.0004119873047, 84992.10546875, 339968.421875, 1359873.6875, 3.746895810257749e-38
3, 0, 19456, 84992, 84992, 76.0, 304.0, 1216.0, 332.0, 1328.0, 5312.0, 1.296875, 332.0, 1328.0, 5312.0, 1.1909915907989485e-40
4, 76, 332, 332, 332, 1.296875, 5.1875, 20.75, 1.296875, 5.1875, 20.75, 0.00506591796875, 1.296875, 5.1875, 20.75, 4.652310901558393e-43
5, 1, 1, 1, 1, 0.00390625, 0.015625, 0.0625, 0.00390625, 0.015625, 0.0625, 1.52587890625e-05, 0.00390625, 0.015625, 0.0625, 1.401298464324817e-45
6, 0, 0, 0, 167772160, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2560.0, 655360.0, 2621440.0, 10485760.0, 6.162975822039155e-33
7, 0, 0, 655360, 655360, 0.0, 0.0, 0.0, 2560.0, 10240.0, 40960.0, 10.0, 2560.0, 10240.0, 40960.0, 9.183549615799121e-40
8, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
9, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
10, 0, 0, 0, 33554432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 512.0, 131072.0, 524288.0, 2097152.0, 9.4039548065783e-38
11, 0, 0, 131072, 131072, 0.0, 0.0, 0.0, 512.0, 2048.0, 8192.0, 2.0, 512.0, 2048.0, 8192.0, 1.8367099231598242e-40
12, 0, 512, 512, 512, 2.0, 8.0, 32.0, 2.0, 8.0, 32.0, 0.0078125, 2.0, 8.0, 32.0, 7.174648137343064e-43
13, 2, 2, 2, 2751463426, 0.0078125, 0.03125, 0.125, 0.0078125, 0.03125, 0.125, 41984.00003051758, 10747904.0078125, 42991616.03125, 171966464.125, -2.7755582233073814e-17
14, 0, 0, 10747904, 950272000, 0.0, 0.0, 0.0, 41984.0, 167936.0, 671744.0, 14500.0, 3712000.0, 14848000.0, 59392000.0, 7.82012939453125e-05
15, 0, 41984, 3712000, 3712000, 164.0, 656.0, 2624.0, 14500.0, 58000.0, 232000.0, 56.640625, 14500.0, 58000.0, 232000.0, 5.201619899573721e-39
16, 164, 14500, 14500, 14500, 56.640625, 226.5625, 906.25, 56.640625, 226.5625, 906.25, 0.22125244140625, 56.640625, 226.5625, 906.25, 2.0318827732709848e-41
17, 56, 56, 56, 268435512, 0.21875, 0.875, 3.5, 0.21875, 0.875, 3.5, 4096.0008544921875, 1048576.21875, 4194304.875, 16777219.5, 2.524371748594251e-29
18, 0, 0, 1048576, 2752512000, 0.0, 0.0, 0.0, 4096.0, 16384.0, 65536.0, 42000.0, 10752000.0, 43008000.0, 172032000.0, -3.122502256758253e-17
19, 0, 4096, 10752000, 10752000, 16.0, 64.0, 256.0, 42000.0, 168000.0, 672000.0, 164.0625, 42000.0, 168000.0, 672000.0, 1.5066761088420433e-38
20, 16, 42000, 42000, 42000, 164.0625, 656.25, 2625.0, 164.0625, 656.25, 2625.0, 0.640869140625, 164.0625, 656.25, 2625.0, 5.885453550164232e-41
21, 164, 164, 164, 164, 0.640625, 2.5625, 10.25, 0.640625, 2.5625, 10.25, 0.00250244140625, 0.640625, 2.5625, 10.25, 2.2981294814927e-43
22, 0, 0, 0, 1140850688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17408.0, 4456448.0, 17825792.0, 71303168.0, 512.0
23, 0, 0, 4456448, 38010880, 0.0, 0.0, 0.0, 17408.0, 69632.0, 278528.0, 580.0, 148480.0, 593920.0, 2375680.0, 1.4399805797573022e-37
24, 0, 17408, 148480, 148480, 68.0, 272.0, 1088.0, 580.0, 2320.0, 9280.0, 2.265625, 580.0, 2320.0, 9280.0, 2.0806479598294884e-40
25, 68, 580, 580, 580, 2.265625, 9.0625, 36.25, 2.265625, 9.0625, 36.25, 0.00885009765625, 2.265625, 9.0625, 36.25, 8.127531093083939e-43
26, 2, 2, 2, 570425346, 0.0078125, 0.03125, 0.125, 0.0078125, 0.03125, 0.125, 8704.000030517578, 2228224.0078125, 8912896.03125, 35651584.125, 1.7347238895671134e-18
27, 0, 0, 2228224, 19005440, 0.0, 0.0, 0.0, 8704.0, 34816.0, 139264.0, 290.0, 74240.0, 296960.0, 1187840.0, 2.975470075518915e-38
28, 0, 8704, 74240, 74240, 34.0, 136.0, 544.0, 290.0, 1160.0, 4640.0, 1.1328125, 290.0, 1160.0, 4640.0, 1.0403239799147442e-40
29, 34, 290, 290, 503316770, 1.1328125, 4.53125, 18.125, 1.1328125, 4.53125, 18.125, 7680.004425048828, 1966081.1328125, 7864324.53125, 31457298.125, 6.776497838168817e-21
30, 1, 1, 1966081, 52297729, 0.00390625, 0.015625, 0.0625, 7680.00390625, 30720.015625, 122880.0625, 798.0000152587891, 204288.00390625, 817152.015625, 3268608.0625, 4.643203134163544e-37
31, 0, 7680, 204288, 84090368, 30.0, 120.0, 480.0, 798.0, 3192.0, 12768.0, 1283.1171875, 328478.0, 1313912.0, 5255648.0, 6.165100528078266e-36
32, 30, 798, 328478, 328478, 3.1171875, 12.46875, 49.875, 1283.1171875, 5132.46875, 20529.875, 5.012176513671875, 1283.1171875, 5132.46875, 20529.875, 4.602957169644873e-40
33, 3, 1283, 1283, 167773443, 5.01171875, 20.046875, 80.1875, 5.01171875, 20.046875, 80.1875, 2560.019577026367, 655365.01171875, 2621460.046875, 10485840.1875, 6.16391842157172e-33
34, 5, 5, 655365, 655365, 0.01953125, 0.078125, 0.3125, 2560.01953125, 10240.078125, 40960.3125, 10.000076293945312, 2560.01953125, 10240.078125, 40960.3125, 9.183619680722337e-40
35, 0, 2560, 2560, 2560, 10.0, 40.0, 160.0, 10.0, 40.0, 160.0, 0.0390625, 10.0, 40.0, 160.0, 3.587324068671532e-42
36, 10, 10, 10, 10, 0.0390625, 0.15625, 0.625, 0.0390625, 0.15625, 0.625, 0.000152587890625, 0.0390625, 0.15625, 0.625, 1.401298464324817e-44
37, 0, 0, 0, 2516582400, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 38400.0, 9830400.0, 39321600.0, 157286400.0, -1.0339757656912846e-25
38, 0, 0, 9830400, 9830400, 0.0, 0.0, 0.0, 38400.0, 153600.0, 614400.0, 150.0, 38400.0, 153600.0, 614400.0, 1.3775324423698682e-38
39, 0, 38400, 38400, 38400, 150.0, 600.0, 2400.0, 150.0, 600.0, 2400.0, 0.5859375, 150.0, 600.0, 2400.0, 5.380986103007298e-41
40, 150, 150, 150, 1006633110, 0.5859375, 2.34375, 9.375, 0.5859375, 2.34375, 9.375, 15360.00228881836, 3932160.5859375, 15728642.34375, 62914569.375, 0.007812639698386192
41, 0, 0, 3932160, 842792960, 0.0, 0.0, 0.0, 15360.0, 61440.0, 245760.0, 12860.0, 3292160.0, 13168640.0, 52674560.0, 1.0943040251731873e-08
42, 0, 15360, 3292160, 842152960, 60.0, 240.0, 960.0, 12860.0, 51440.0, 205760.0, 12850.234375, 3289660.0, 13158640.0, 52634560.0, 1.0374606063123792e-08
43, 60, 12860, 3289660, 3289660, 50.234375, 200.9375, 803.75, 12850.234375, 51400.9375, 205603.75, 50.19622802734375, 12850.234375, 51400.9375, 205603.75, 4.609795506150778e-39
44, 50, 12850, 12850, 838873650, 50.1953125, 200.78125, 803.125, 50.1953125, 200.78125, 803.125, 12800.196075439453, 3276850.1953125, 13107400.78125, 52429603.125, 7.461993689616975e-09
45, 50, 50, 3276850, 3276850, 0.1953125, 0.78125, 3.125, 12800.1953125, 51200.78125, 204803.125, 50.000762939453125, 12800.1953125, 51200.78125, 204803.125, 4.591844872822777e-39
46, 0, 12800, 12800, 12800, 50.0, 200.0, 800.0, 50.0, 200.0, 800.0, 0.1953125, 50.0, 200.0, 800.0, 1.7936620343357659e-41
47, 50, 50, 50, 419430450, 0.1953125, 0.78125, 3.125, 0.1953125, 0.78125, 3.125, 6400.000762939453, 1638400.1953125, 6553600.78125, 26214403.125, 6.617484343469482e-24
48, 0, 0, 1638400, 1638400, 0.0, 0.0, 0.0, 6400.0, 25600.0, 102400.0, 25.0, 6400.0, 25600.0, 102400.0, 2.2958874039497803e-39
49, 0, 6400, 6400, 6400, 25.0, 100.0, 400.0, 25.0, 100.0, 400.0, 0.09765625, 25.0, 100.0, 400.0, 8.968310171678829e-42
50, 25, 25, 25, 25, 0.09765625, 0.390625, 1.5625, 0.09765625, 0.390625, 1.5625, 0.0003814697265625, 0.09765625, 0.390625, 1.5625, 3.5032461608120427e-44
51, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
52, 0, 0, 0, 100663296, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1536.0, 393216.0, 1572864.0, 6291456.0, 2.407412430484045e-35
53, 0, 0, 393216, 393216, 0.0, 0.0, 0.0, 1536.0, 6144.0, 24576.0, 6.0, 1536.0, 6144.0, 24576.0, 5.510129769479473e-40
54, 0, 1536, 1536, 1536, 6.0, 24.0, 96.0, 6.0, 24.0, 96.0, 0.0234375, 6.0, 24.0, 96.0, 2.152394441202919e-42
55, 6, 6, 6, 503316486, 0.0234375, 0.09375, 0.375, 0.0234375, 0.09375, 0.375, 7680.000091552734, 1966080.0234375, 7864320.09375, 31457280.375, 6.776268424795804e-21
56, 0, 0, 1966080, 169738240, 0.0, 0.0, 0.0, 7680.0, 30720.0, 122880.0, 2590.0, 663040.0, 2652160.0, 10608640.0, 7.607423280329582e-33
57, 0, 7680, 663040, 151657984, 30.0, 120.0, 480.0, 2590.0, 10360.0, 41440.0, 2314.1171875, 592414.0, 2369656.0, 9478624.0, 1.6625251702549777e-33
58, 30, 2590, 592414, 3490253342, 10.1171875, 40.46875, 161.875, 2314.1171875, 9256.46875, 37025.875, 53257.03952026367, 13633802.1171875, 54535208.46875, 218140833.875, -9196566528.0
59, 10, 2314, 13633802, 47188234, 9.0390625, 36.15625, 144.625, 53257.0390625, 213028.15625, 852112.625, 720.0353088378906, 184329.0390625, 737316.15625, 2949264.625, 3.056804128881379e-37
60, 9, 53257, 184329, 1174589449, 208.03515625, 832.140625, 3328.5625, 720.03515625, 2880.140625, 11520.5625, 17922.8126373291, 4588240.03515625, 18352960.140625, 73411840.5625, 8372.0087890625
61, 208, 720, 4588240, 4588240, 2.8125, 11.25, 45.0, 17922.8125, 71691.25, 286765.0, 70.010986328125, 17922.8125, 71691.25, 286765.0, 6.429493665953699e-39
62, 2, 17922, 17922, 3187688962, 70.0078125, 280.03125, 1120.125, 70.0078125, 280.03125, 1120.125, 48640.27346801758, 12451910.0078125, 49807640.03125, 199230560.125, -0.12526705861091614
